Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Ecuador,2020-03-03 15:13:26,7,0,0,-1.8312,-78.1834
,Iceland,2020-03-03 15:13:26,11,0,0,64.9631,-19.0208
,Netherlands,2020-03-03 15:13:26,24,0,0,52.1326,5.2913
,Sweden,2020-03-03 15:13:26,21,0,0,63.0,16.0
,UK,2020-03-03 15:13:26,51,0,8,55.0,-3.0
Queensland,Australia,2020-03-03 15:23:03,11,0,1,-28.0167,153.4
,France,2020-03-03 15:23:03,204,4,12,47.0,2.0
,Oman,2020-03-03 15:23:03,12,0,2,21.0,57.0
,San Marino,2020-03-03 15:23:03,10,1,0,43.9424,12.4578
,Singapore,2020-03-03 15:23:03,110,0,78,1.2833,103.8333
,Jordan,2020-03-03 15:33:02,1,0,0,31.24,36.51
,Morocco,2020-03-03 15:33:02,1,0,0,31.7917,-7.0926
,Portugal,2020-03-03 15:33:02,2,0,0,39.3999,-8.2245
,Ukraine,2020-03-03 15:33:02,1,0,0,48.3794,31.1656
"Madison, WI",US,2020-03-03 15:53:03,1,0,1,43.0731,-89.4012
,Switzerland,2020-03-03 16:43:02,56,0,2,46.8182,8.2275
"Maricopa County, AZ",US,2020-03-03 17:33:02,1,0,0,33.2918,-112.4291
,Argentina,2020-03-03 17:43:02,1,0,0,-38.4161,-63.6167
"Hillsborough, FL",US,2020-03-03 18:33:02,2,0,0,27.9904,-82.3018
,Germany,2020-03-03 20:03:06,196,0,16,51.0,9.0
,Iraq,2020-03-03 20:03:06,32,0,0,33.0,44.0
,Italy,2020-03-03 20:03:06,2502,79,160,43.0,12.0
,Japan,2020-03-03 20:03:06,293,6,43,36.0,138.0
"Toronto, ON",Canada,2020-03-03 20:03:08,19,0,2,43.6532,-79.3832
"King County, WA",US,2020-03-03 20:23:05,21,6,1,47.548,-121.9836
"Snohomish County, WA",US,2020-03-03 20:23:05,6,1,0,48.033,-121.8339
,Chile,2020-03-03 20:33:02,1,0,0,-35.6751,-71.543
"Wake County, NC",US,2020-03-03 20:53:02,1,0,0,35.8032,-78.5661
Chongqing,Mainland China,2020-03-03 23:13:05,576,6,490,30.0572,107.874
Shanxi,Mainland China,2020-03-03 23:13:05,133,0,124,37.5777,112.2922
"Santa Clara, CA",US,2020-03-03 23:33:03,11,0,1,37.3541,-121.9552
"Grafton County, NH",US,2020-03-03 23:33:03,2,0,0,43.9088,-71.826
Hainan,Mainland China,2020-03-03 23:43:02,168,5,155,19.1959,109.7453
,United Arab Emirates,2020-03-03 23:43:02,27,0,5,24.0,54.0
British Columbia,Canada,2020-03-03 23:53:03,9,0,3,49.2827,-123.1207
,Estonia,2020-03-03 23:53:03,2,0,0,58.5953,25.0136
,Ireland,2020-03-03 23:53:03,2,0,0,53.1424,-7.6921
,Senegal,2020-03-03 23:53:03,2,0,0,14.4974,-14.4524
,Spain,2020-03-03 23:53:03,165,1,2,40.0,-4.0
"Berkeley, CA",US,2020-03-03 23:53:03,1,0,0,37.8715,-122.273
,Denmark,2020-03-04 00:03:15,10,0,0,56.2639,9.5018
,Qatar,2020-03-04 00:03:15,8,0,0,25.3548,51.1839
Guangxi,Mainland China,2020-03-04 00:13:08,252,2,210,23.8298,108.7881
Henan,Mainland China,2020-03-04 00:33:05,1272,22,1234,33.882,113.614
,Romania,2020-03-04 00:53:02,4,0,1,46.0,25.0
,Argentina,2020-03-04 01:33:07,1,0,0,-38.4161,-63.6167
,Chile,2020-03-04 01:33:07,1,0,0,-35.6751,-71.543
,Latvia,2020-03-04 01:33:07,1,0,0,56.8796,24.6032
,Liechtenstein,2020-03-04 01:33:07,1,0,0,47.14,9.55
Jiangxi,Mainland China,2020-03-04 01:33:07,935,1,884,27.614,115.7221
Ningxia,Mainland China,2020-03-04 01:33:07,75,0,69,37.2692,106.1655
,Tunisia,2020-03-04 01:33:07,1,0,0,34.0,9.0
"Orange County, CA",US,2020-03-04 02:13:11,3,0,0,33.7879,-117.8531
,Saint Barthelemy,2020-03-04 02:43:03,3,0,0,17.9,-62.8333
Shanghai,Mainland China,2020-03-04 04:13:08,338,3,298,31.202,121.4491
British Columbia,Canada,2020-03-04 04:23:05,12,0,3,49.2827,-123.1207
"Contra Costa County, CA",US,2020-03-04 04:23:05,1,0,0,37.8534,-121.9018
Guangdong,Mainland China,2020-03-04 10:03:19,1350,7,1133,23.3417,113.4244
Zhejiang,Mainland China,2020-03-04 10:03:19,1213,1,1114,29.1832,120.0934
Anhui,Mainland China,2020-03-04 10:03:19,990,6,956,31.8257,117.2264
Hebei,Mainland China,2020-03-04 10:03:19,318,6,301,38.0428,114.5149
Hainan,Mainland China,2020-03-04 10:03:19,168,5,158,19.1959,109.7453
Jilin,Mainland China,2020-03-04 10:03:19,93,1,86,43.6661,126.1923
,Belgium,2020-03-04 12:33:03,23,0,1,50.8333,4.0
,India,2020-03-04 12:33:03,28,0,3,21.0,78.0
,Iran,2020-03-04 12:33:03,2922,92,552,32.0,53.0
,Netherlands,2020-03-04 12:33:03,38,0,0,52.1326,5.2913
,Sweden,2020-03-04 12:33:03,35,0,0,63.0,16.0
Victoria,Australia,2020-03-04 12:43:03,10,0,4,-37.8136,144.9631
,Belarus,2020-03-04 12:43:03,6,0,0,53.7098,27.9534
,Israel,2020-03-04 12:43:03,15,0,1,31.0,35.0
,Portugal,2020-03-04 12:43:03,5,0,0,39.3999,-8.2245
,Faroe Islands,2020-03-04 12:53:03,1,0,0,61.8926,-6.9118
Hubei,Mainland China,2020-03-04 12:53:03,67332,2871,38557,30.9756,112.2707
Shandong,Mainland China,2020-03-04 12:53:03,758,6,516,36.3427,118.1498
Jiangsu,Mainland China,2020-03-04 12:53:03,631,0,577,32.9711,119.455
Sichuan,Mainland China,2020-03-04 12:53:03,538,3,406,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-04 12:53:03,480,13,373,47.862,127.7615
Fujian,Mainland China,2020-03-04 12:53:03,296,1,270,26.0789,117.9874
,Malaysia,2020-03-04 13:03:08,50,0,22,2.5,112.5
,Gibraltar,2020-03-04 13:03:13,1,0,0,36.1408,-5.3536
,Poland,2020-03-04 15:13:18,1,0,0,51.9194,19.1451
Hunan,Mainland China,2020-03-04 15:43:02,1018,4,916,27.6104,111.7088
Shaanxi,Mainland China,2020-03-04 15:43:03,245,1,223,35.1917,108.8701
Gansu,Mainland China,2020-03-04 15:43:03,91,2,87,36.0611,103.8343
Xinjiang,Mainland China,2020-03-04 15:43:03,76,3,69,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-04 15:43:03,75,1,63,44.0935,113.9448
,Croatia,2020-03-04 16:53:02,10,0,0,45.1667,15.5
,Lebanon,2020-03-04 16:53:02,13,0,1,33.8547,35.8623
"Los Angeles, CA",US,2020-03-04 18:13:18,7,0,0,34.0522,-118.2437
,Italy,2020-03-04 19:23:03,3089,107,276,43.0,12.0
