,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
245,2020-10-16,48.41601727990491,95.242758824611,138.18962195600673,5.553838957911252,31.457008781102473,-9.023275168470262
246,2020-10-17,47.915766060386964,98.99326763185549,138.1896328083781,4.553903947267749,30.707565916153843,-8.272585038595622
247,2020-10-18,47.961860487934395,93.78792170734798,135.1996799857939,7.306237375500356,32.11016666640864,-9.352453172589223
248,2020-10-19,52.508242589287114,99.16574130993807,150.87557528261547,10.225395130028016,35.0948077683819,-10.097734960060942
249,2020-10-20,53.00794134970937,99.16593861392599,153.12547184338476,9.475444640168664,33.09625275667792,-9.847198155014398
250,2020-10-21,49.00772975569805,97.41616980713302,148.375723985616,2.975850171317435,26.8507820365071,-7.846620880840989
251,2020-10-22,49.00744026534247,98.41654068497427,142.12605232488653,5.475698452289898,31.847302500653758,-8.59588317123172
252,2020-10-23,50.007130979905355,98.66687068270369,142.8760250799961,5.725686045773784,32.596852860982224,-9.345167677189925
253,2020-10-24,49.506879760394284,102.41737948996283,142.8760359323761,4.725751035133862,31.84740999604071,-8.594477547317018
254,2020-10-25,49.55297418793776,97.21203356544954,139.88608310978933,7.478084463364157,33.25001074628978,-9.674345681309305
255,2020-10-26,54.09935628928993,102.5898531680386,155.56197840661537,10.397242217887069,36.23465184825698,-10.419627468780122
256,2020-10-27,54.59905504970618,102.59005047201568,157.81187496736752,9.64729172802248,34.236096836546146,-10.169090663732616
257,2020-10-28,50.59884345570735,100.84028166522627,153.06212710962419,3.147697259185634,27.99062611638464,-8.168513389564211
258,2020-10-29,50.59855396534353,101.84065254306708,146.81245544886568,5.647545540154143,32.9871465805351,-8.917775679953072
259,2020-10-30,51.5982446799062,102.09098254080413,147.5624282039844,5.897533133633629,33.73669694085915,-9.667060185909156
260,2020-10-31,51.09799346039358,105.84149134806212,147.5624390563671,4.897598122990768,32.9872540759142,-8.916370056035172
261,2020-11-01,51.144087887941126,100.6361454235511,144.5724862337847,7.64993155122796,34.38985482617094,-9.996238190029388
262,2020-11-02,55.690469989295025,106.01396502614934,160.2483815306179,10.569089305750301,37.374495928138806,-10.741519977499234
263,2020-11-03,56.1901687497197,106.0141623301358,162.49827809137955,9.819138815901184,35.37594091644867,-10.490983172456469
264,2020-11-04,52.18995715570722,104.26439352333561,157.74853023361916,3.319544347041613,29.130470196261193,-8.490405898281164
265,2020-11-05,52.18966766534678,105.26476440118346,151.498858572876,5.819392628009489,34.12699066041194,-9.239668188670056
266,2020-11-06,53.18935837990706,105.51509439890462,152.24883132797274,6.069380221493473,34.87654102073608,-9.988952694628388
267,2020-11-07,52.689107160393824,109.26560320616015,152.24884218034765,5.069445210854594,34.12709815579489,-9.238262564755019
268,2020-11-08,52.735201587932586,104.06025728165412,149.25888935775467,7.8217786390724635,35.52969890603477,-10.318130698743651
269,2020-11-09,57.28158368930011,109.43807688426004,164.93478465462042,10.740936393613532,38.514340008020625,-11.063412486218343
270,2020-11-10,57.781282449716514,109.43827418822548,167.18468121536233,9.990985903755,36.51578499631688,-10.812875681174688
271,2020-11-11,53.78107085570517,107.68850538143097,162.43493335760047,3.4913914348993,30.270314276136553,-8.812298406999895
272,2020-11-12,53.780781365347835,108.68887625927626,156.18526169685515,5.991239715873734,35.266834740293284,-9.561560697391405
273,2020-11-13,54.780472079908,108.93920625701232,156.93523445197548,6.24122730934701,36.016385100607756,-10.310845203345467
274,2020-11-15,54.28022086039216,112.68971506426074,156.93524530434905,5.241292298704581,35.26694223566117,-9.560155073471478
275,2020-11-16,54.326315287934165,107.48436913975075,153.94529248175442,7.993625726930108,36.66954298590819,-10.64002320746283
276,2020-11-17,58.87269738930065,112.86218874235037,169.62118777861775,10.912783481468406,39.65418408788898,-11.385304994937597
277,2020-11-18,59.37239614971564,112.86238604632857,171.87108433935416,10.162832991610188,37.6556290761895,-11.134768189891878
278,2020-11-19,55.372184555703136,111.11261723952633,167.1213364815818,3.663238522756987,31.41015835601192,-9.134190915718634
279,2020-11-20,55.37189506534388,112.1129881173742,160.87166482085314,6.163086803723002,36.40667882015388,-9.88345320610592
280,2020-11-21,56.371585779908756,112.36331811510554,161.62163757594936,6.413074397213164,37.15622918048994,-10.632737712066852
281,2020-11-22,55.871334560392405,116.11382692235875,161.6216484283296,5.413139386568406,36.40678631554186,-9.882047582191326
282,2020-11-23,55.91742898793932,110.90848099785727,158.63169560574548,8.165472814800069,37.809387065797075,-10.961915716183816
283,2020-11-24,60.46381108930573,116.28630060046109,174.3075909026202,11.084630569331637,40.794028167770804,-11.707197503656705
284,2020-11-25,60.96350984972683,116.28649790443528,176.55748746335712,10.334680079487518,38.79547315608762,-11.456660698616757
285,2020-11-26,56.96329825570109,114.53672909762169,171.80773960556309,3.835085610614672,32.550002435887286,-9.456083424437368
286,2020-11-27,56.96300876534494,115.53709997546702,165.5580679448323,6.334933891587244,37.54652290003524,-10.205345714827276
287,2020-11-28,57.96269947990929,115.78742997320548,166.30804069995312,6.584921485069386,38.296073260364444,-10.954630220784363
288,2020-11-29,57.4624482603917,119.53793878045808,166.30805155232062,5.58498647442531,37.546630395415335,-10.20394009090948
289,2020-11-30,57.50854268794088,114.33259285595386,163.31809872974526,8.337319902657713,38.94923114567049,-11.283808224902995
290,2020-12-01,62.05492478929458,119.7104124585498,178.9939940265721,11.25647765718459,41.93387224764383,-12.029090012373986
291,2020-12-02,62.554623549725974,119.71060976253838,181.24389058734894,10.506527167342705,39.935317235960234,-11.778553207333946
292,2020-12-03,58.554411955700935,117.96084095573106,176.4941427295581,4.006932698470651,33.68984651576384,-9.777975933154318
293,2020-12-04,58.554122465348186,118.96121183358338,170.24447106884264,6.506780979442592,38.686366979912066,-10.527238223544254
294,2020-12-05,59.553813179910215,119.21154183131316,170.99444382395586,6.7567685729229225,39.43591734023611,-11.27652272950144
295,2020-12-06,59.053561960398056,122.96205063856664,170.99445467632907,5.756833562284503,38.686474475295,-10.525832599629178
296,2020-12-07,59.09965638794424,117.75670471405542,168.00450185374063,8.509166990521514,40.08907522555164,-11.605700733623074
297,2020-12-08,63.64603848929739,123.13452431665031,183.68039715057196,11.428324745043643,43.07371632751891,-12.350982521093167
298,2020-12-09,64.14573724972279,123.13472162062806,185.93029371133167,10.678374255196523,41.07516131582845,-12.100445716052166
299,2020-12-10,60.145525655697014,121.38495281381245,181.18054585352579,4.178779786330045,34.82969059563802,-10.09986844187484
300,2020-12-11,60.14523616534926,122.38532369167619,174.93087419282185,6.678628067306836,39.82621105979341,-10.84913073226561
